# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-SNAPSHOT

admin._ocanada_, boolean, 00
admin.paocombanana, boolean, 00
ajuda._ocanada_, boolean, 00
ajuda.csrgod, boolean, 00
ajuda.d4rkzn, boolean, 00
ajuda.guipatinho, boolean, 00
ajuda.legendarisk, boolean, 00
ajuda.paocombanana, boolean, 00
ajuda.srmapelu, boolean, 00
ajuda.todyn2202, boolean, 00
ajuda.zmercurio, boolean, 00
almas.<player>, long, 0000000000000000
almas._ocanada_, double, 4065600000000000
argumentomencionado, string, 802EC2A763C2A76C4552524F523A20C2A76344696769746520756D20617267756D656E746F206D656E63696F6E61646F
banco.<player>, long, 0000000000000000
banco._ocanada_, double, 40C3880000000000
cage.<player>, boolean, 00
cancelaraçao, string, 802BC2A761C2A76C5355434553534F3A20C2A761566F63652063616E63656C6F7520657374612061C3A7C3A36F
canceloudisposito, string, 803EC2A761C2A76C5355434553534F3A20C2A761566F63652063616E63656C6F7520612061C3A7C3A36F20646520646573706F7369746F2064696E686569726F
cancelousaque, string, 803AC2A761C2A76C5355434553534F3A20C2A761566F63652063616E63656C6F7520612061C3A7C3A36F2064652073616361722064696E686569726F
chat, boolean, 01
creeperking.<player>, long, 0000000000000000
delaytpa._ocanada_, boolean, 00
delaytpa.csrgod, boolean, 00
delaytpa.d4rkzn, boolean, 00
delaytpa.guipatinho, boolean, 00
delaytpa.legendarisk, boolean, 00
delaytpa.paocombanana, boolean, 00
delaytpa.srmapelu, boolean, 00
delaytpa.todyn2202, boolean, 00
delaytpa.zmercurio, boolean, 00
depositar._ocanada_, long, 0000000000002710
depositoudinheiro, string, 8036C2A761C2A76C5355434553534F3A20C2A761566F636520646573706F7369746F752064696E686569726F20636F6D207375636573736F
digitenumero, string, 802AC2A763C2A76C4552524F523A20C2A763506F726661766F722064696769746520756D206E756D65726F2E
dinheiroinsuficiente, string, 8034C2A763C2A76C4552524F523A20C2A763566F6365206EC3A36F20706F737375692064696E686569726F20737566696369656E7465
drops::<player>::total, long, 0000000000000000
drops::_ocanada_::total, double, 4061400000000000
fortuna.custo.<player>, long, 00000000000001F4
fortuna.dinheiro.<player>, long, 0000000000002710
fortuna.level.<player>, long, 0000000000000000
fortuna.next.<player>, long, 0000000000000001
gema.<player>, long, 0000000000000000
gema._ocanada_, double, 0000000000000000
gema.guipatinho, double, 3FF0000000000000
gema.paocombanana, double, 3FF0000000000000
gema.zmercurio, double, 4034000000000000
id, long, 000000000000005D
itemmao, string, 8031C2A761C2A76C5355434553534F3A20C2A761566F63652072657061726F75206F206974656D20646120737561206DC3A36F
jareportou.paocombanana, date, 810974696D657374616D7004000001723C66B93B
luz.<player>, boolean, 00
mandoutpa.guipatinho.zmercurio, boolean, 01
mandoutpa.zmercurio._ocanada_, boolean, 00
mandoutpa.zmercurio.csrgod, boolean, 00
mandoutpa.zmercurio.guipatinho, boolean, 01
manutencao, boolean, 01
mensagem._ocanada_, long, 0000000000002710
mina, location, 8605776F726C6480FF0000000181046E616D652080044D696E61017809C03E4B6CCF4DFA930179094048000000000000017A09C015FEDAE88A000005706974636808BECCA8330379617708C2B596E1
motd.1, string, 801DC2A763C2A76C52454445204649524520C2A7375B312E382D312E31355D
motd.2, string, 8033C2A766C2A76C52414E4B555020C2A763C2A76C4D4F4E415243485920C2A7372D20C2A736C2A76C54454D504F52414441202331
motivo._ocanada_, string, 80057465737465
naopossuiitens, string, 8042C2A761C2A76C5355434553534F3A20C2A763C2A76C4552524F523A20C2A763566F6365206EC3A36F20706F73737569206974656E7320706172612072657061726172
naoprecisafix, string, 8033C2A763C2A76C4552524F523A20C2A76345737365206974656D206EC3A36F20707265636973612073657220726570617261646F
nofix, string, 802EC2A763C2A76C4552524F523A20C2A76344696769746520756D20617267756D656E746F206D656E63696F6E61646F
preço_vip, string, 800431303030
preçomao, string, 800435303030
preçotodos, string, 80053235303030
quantia, integer, 00000020
quantosreport._ocanada_, long, 0000000000000001
removernpc._ocanada_, boolean, 00
reparar::_ocanada_, boolean, 00
reportados::1, offlineplayer, 82046E616D652080095F6F43616E6164615F0475756964800455554944820C6C656173745369674269747304BC087C3F9435F04E0B6D6F737453696742697473048453E0FCD78C3266
responder._ocanada_, boolean, 00
responder.csrgod, boolean, 00
responder.d4rkzn, boolean, 00
responder.guipatinho, boolean, 00
responder.legendarisk, boolean, 00
responder.paocombanana, boolean, 00
responder.srmapelu, boolean, 00
responder.todyn2202, boolean, 00
responder.zmercurio, boolean, 00
sacar._ocanada_, boolean, 00
sacoudinheiro, string, 803BC2A761C2A76C5355434553534F3A20C2A761566F6365207361636F752064696E686569726F20646F2062616E636F20636F6D207375636573736F2E
segurandoitem, string, 8034C2A763C2A76C4552524F523A20C2A763566F63652070726563697361206573746172207365677572616E646F20756D206974656D
semdinheiro, string, 8035C2A763C2A76C4552524F523A20C2A763566F6365206EC3A36F20706F737375692064696E686569726F20737566696369656E74652E
setarnpc._ocanada_, boolean, 00
slot, double, 3FF0000000000000
spawn, location, 8605776F726C6480FF0000000181046E616D65208005537061776E017809408E2BF614AB241E0179094062000000000000017A09408D4D1D539C31B9057069746368083E86E768037961770842BBB898
suporte.m.150, string, 80057465737465
suporte.m.93, string, 80057465737465
suporte.p.150, offlineplayer, 82046E616D652080095F6F43616E6164615F0475756964800455554944820C6C656173745369674269747304BC087C3F9435F04E0B6D6F737453696742697473048453E0FCD78C3266
suporte.p.93, offlineplayer, 82046E616D652080095F6F43616E6164615F0475756964800455554944820C6C656173745369674269747304BC087C3F9435F04E0B6D6F737453696742697473048453E0FCD78C3266
tell._ocanada_, boolean, 01
tell.csrgod, boolean, 01
tell.d4rkzn, boolean, 01
tell.guipatinho, boolean, 01
tell.legendarisk, boolean, 01
tell.paocombanana, boolean, 01
tell.srmapelu, boolean, 01
tell.todyn2202, boolean, 01
tell.zmercurio, boolean, 01
tempo.cooldown::_ocanada_, date, 810974696D657374616D7004000001725633A0BA
todosreparados, string, 802CC2A761C2A76C5355434553534F3A20C2A761566F63652072657061726F75206F732073657573206974656E73
tpa._ocanada_, boolean, 01
tpa.csrgod, boolean, 01
tpa.d4rkzn, boolean, 01
tpa.guipatinho, boolean, 01
tpa.legendarisk, boolean, 01
tpa.paocombanana, boolean, 01
tpa.srmapelu, boolean, 01
tpa.todyn2202, boolean, 01
tpa.zmercurio, boolean, 01
version, string, 8003312E30

responder._ocanada_, boolean, 00
responder._ocanada_, boolean, 00
todosreparados, string, 802CC2A761C2A76C5355434553534F3A20C2A761566F63652072657061726F75206F732073657573206974656E73
naopossuiitens, string, 8042C2A761C2A76C5355434553534F3A20C2A763C2A76C4552524F523A20C2A763566F6365206EC3A36F20706F73737569206974656E7320706172612072657061726172
dinheiroinsuficiente, string, 8034C2A763C2A76C4552524F523A20C2A763566F6365206EC3A36F20706F737375692064696E686569726F20737566696369656E7465
cancelaraçao, string, 802BC2A761C2A76C5355434553534F3A20C2A761566F63652063616E63656C6F7520657374612061C3A7C3A36F
itemmao, string, 8031C2A761C2A76C5355434553534F3A20C2A761566F63652072657061726F75206F206974656D20646120737561206DC3A36F
naoprecisafix, string, 8033C2A763C2A76C4552524F523A20C2A76345737365206974656D206EC3A36F20707265636973612073657220726570617261646F
segurandoitem, string, 8034C2A763C2A76C4552524F523A20C2A763566F63652070726563697361206573746172207365677572616E646F20756D206974656D
argumentomencionado, string, 802EC2A763C2A76C4552524F523A20C2A76344696769746520756D20617267756D656E746F206D656E63696F6E61646F
nofix, string, 802EC2A763C2A76C4552524F523A20C2A76344696769746520756D20617267756D656E746F206D656E63696F6E61646F
preçotodos, string, 80053235303030
preçomao, string, 800435303030
reparar::_ocanada_, boolean, 01
reparar::_ocanada_, boolean, 00
reparar::_ocanada_, boolean, 01
reparar::_ocanada_, boolean, 00
responder.guipatinho, boolean, 00
responder.guipatinho, boolean, 00
responder.guipatinho, boolean, 00
responder.zmercurio, boolean, 00
responder.zmercurio, boolean, 00
responder.zmercurio, boolean, 00
responder.zmercurio, boolean, 00
responder.todyn2202, boolean, 00
responder._ocanada_, boolean, 00
responder.zmercurio, boolean, 00
responder.guipatinho, boolean, 00
responder.guipatinho, boolean, 00
responder.todyn2202, boolean, 00
responder.guipatinho, boolean, 00
responder.guipatinho, boolean, 00
responder.todyn2202, boolean, 00
items::1, itemstack, 810576616C75652080C776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A204449414D4F4E445F5049434B4158450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204449475F53504545443A20320A2020202020204455524142494C4954593A20330A2020202020204C4F4F545F424F4E55535F424C4F434B533A20320A
items::2, itemstack, 810576616C75652080A376616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020747970653A20424F570A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020656E6368616E74733A0A2020202020204152524F575F44414D4147453A20340A2020202020204455524142494C4954593A20330A
